date,sleep_score,sleep_total_min,hr_night_avg,steps_total,active_kcal,sleep_deep_min,sleep_rem_min,sleep_awakenings,data_era,day_of_week,month
2019-05-01,56.65,499.98333333333335,75.57083333333334,25621.0,3958.0,0.0,0.0,0.0,0,2,5
2019-05-02,53.83,497.98333333333335,77.78333333333333,14761.0,5230.0,0.0,0.0,0.0,0,3,5
2019-05-03,17.29,645.9833333333333,77.475,8099.0,4030.0,0.0,0.0,0.0,0,4,5
2019-05-04,41.79,559.9833333333333,75.475,14280.0,2756.0,0.0,0.0,0.0,0,5,5
2019-05-05,58.45,515.9833333333333,71.70416666666667,2217.0,3222.0,0.0,0.0,0.0,0,6,5
2019-05-06,58.82,493.98333333333335,75.125,13142.0,5071.0,0.0,0.0,0.0,0,0,5
2019-05-07,35.03,567.9833333333333,78.65,8784.0,2153.0,0.0,0.0,0.0,0,1,5
2019-05-08,46.7,524.9833333333333,78.0375,3382.0,1336.0,0.0,0.0,0.0,0,2,5
2019-06-06,49.84,508.98333333333335,78.6125,8265.0,2799.0,0.0,0.0,0.0,0,3,6
2019-06-07,21.72,618.9833333333333,79.02083333333333,7358.0,2087.0,0.0,0.0,0.0,0,4,6
2019-06-08,41.99,558.9833333333333,75.50833333333334,4910.0,1812.0,0.0,0.0,0.0,0,5,6
2019-06-09,54.1,500.98333333333335,77.1,6066.0,1980.0,0.0,0.0,0.0,0,6,6
2019-06-10,53.42,499.98333333333335,77.72083333333333,8629.0,2014.0,0.0,0.0,0.0,0,0,6
2019-06-18,59.55,494.98333333333335,74.46666666666667,9075.0,2322.0,0.0,0.0,0.0,0,1,6
2019-06-19,51.89,525.9833333333333,74.4125,7531.0,1086.0,0.0,0.0,0.0,0,2,6
2019-06-20,50.59,520.9833333333333,76.1125,7737.0,934.0,0.0,0.0,0.0,0,3,6
2019-06-21,51.14,544.9833333333333,71.74583333333334,6901.0,1038.0,0.0,0.0,0.0,0,4,6
2019-06-22,55.05,531.9833333333333,71.30416666666666,4555.0,483.0,0.0,0.0,0.0,0,5,6
2019-06-23,64.6,497.98333333333335,70.60416666666667,4525.0,847.0,0.0,0.0,0.0,0,6,6
2019-06-24,60.77,512.9833333333333,70.65833333333333,24602.0,2288.0,0.0,0.0,0.0,0,0,6
